,CID,tsne_1,tsne_2,link,image
4101,130969675,26.93458,-18.719662,https://pubchem.ncbi.nlm.nih.gov/compound/130969675,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/130969675.png
4102,107151438,-56.43055,-26.104929,https://pubchem.ncbi.nlm.nih.gov/compound/107151438,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/107151438.png
4103,154315249,-12.490738,-46.570175,https://pubchem.ncbi.nlm.nih.gov/compound/154315249,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/154315249.png
4104,135710984,-58.329624,-15.678444,https://pubchem.ncbi.nlm.nih.gov/compound/135710984,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/135710984.png
4105,143953670,-41.08684,-20.795725,https://pubchem.ncbi.nlm.nih.gov/compound/143953670,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/143953670.png
4106,55255150,-19.04436,26.179977,https://pubchem.ncbi.nlm.nih.gov/compound/55255150,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/55255150.png
4107,150509940,-12.797028,-61.56556,https://pubchem.ncbi.nlm.nih.gov/compound/150509940,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/150509940.png
4108,6951875,65.06608,24.726936,https://pubchem.ncbi.nlm.nih.gov/compound/6951875,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/6951875.png
4109,134257717,15.713169,-4.6056914,https://pubchem.ncbi.nlm.nih.gov/compound/134257717,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/134257717.png
4110,5866368,7.7388897,-42.879314,https://pubchem.ncbi.nlm.nih.gov/compound/5866368,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/5866368.png
4111,107931812,42.332027,-3.4039006,https://pubchem.ncbi.nlm.nih.gov/compound/107931812,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/107931812.png
4112,85874801,-12.925648,-44.14237,https://pubchem.ncbi.nlm.nih.gov/compound/85874801,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/85874801.png
4113,114764579,62.61358,34.39123,https://pubchem.ncbi.nlm.nih.gov/compound/114764579,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/114764579.png
4114,12403718,-21.416039,16.609224,https://pubchem.ncbi.nlm.nih.gov/compound/12403718,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/12403718.png
4115,153428279,49.824738,16.023804,https://pubchem.ncbi.nlm.nih.gov/compound/153428279,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/153428279.png
4116,139271304,56.12337,35.06538,https://pubchem.ncbi.nlm.nih.gov/compound/139271304,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/139271304.png
4117,130889161,23.158503,-25.360025,https://pubchem.ncbi.nlm.nih.gov/compound/130889161,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/130889161.png
4118,154251276,32.78425,30.233553,https://pubchem.ncbi.nlm.nih.gov/compound/154251276,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/154251276.png
4119,136389036,-2.963377,1.1691737,https://pubchem.ncbi.nlm.nih.gov/compound/136389036,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/136389036.png
4120,140118223,50.340794,-11.810038,https://pubchem.ncbi.nlm.nih.gov/compound/140118223,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/140118223.png
4121,124172548,-11.374144,13.546091,https://pubchem.ncbi.nlm.nih.gov/compound/124172548,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/124172548.png
4122,103084813,-9.695504,32.74088,https://pubchem.ncbi.nlm.nih.gov/compound/103084813,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/103084813.png
4123,15309866,-52.42175,-44.677628,https://pubchem.ncbi.nlm.nih.gov/compound/15309866,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/15309866.png
4124,15149276,13.469967,-17.878502,https://pubchem.ncbi.nlm.nih.gov/compound/15149276,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/15149276.png
4125,61145557,-65.47305,20.439253,https://pubchem.ncbi.nlm.nih.gov/compound/61145557,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/61145557.png
4126,83807627,60.830276,-9.117342,https://pubchem.ncbi.nlm.nih.gov/compound/83807627,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/83807627.png
4127,11579392,-7.1939483,18.61046,https://pubchem.ncbi.nlm.nih.gov/compound/11579392,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/11579392.png
4128,78941512,15.439058,52.223255,https://pubchem.ncbi.nlm.nih.gov/compound/78941512,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/78941512.png
4129,54492265,-49.2327,20.75204,https://pubchem.ncbi.nlm.nih.gov/compound/54492265,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/54492265.png
