,cid,CanonicalSMILES,overall_score,tsne_1,tsne_2,image,link
7018,7018,C1C2=CC=CC=C2C(=O)C3=CC=CC=C31,0.42425383358827284,41.94215,16.244062,https://upconverting.blob.core.windows.net/redox-components/7018.png,https://pubchem.ncbi.nlm.nih.gov/compound/7018
3437845,3437845,C1=CC=C(C=C1)C2(C3=CC=CC=C3C(=O)C4=CC=CC=C42)Cl,0.424275357736479,44.54811,20.760313,https://upconverting.blob.core.windows.net/redox-components/3437845.png,https://pubchem.ncbi.nlm.nih.gov/compound/3437845
16615,16615,CC1=C(C(=O)C2=CC=CC=C2C1=O)C,0.42519979208542946,52.021538,21.893494,https://upconverting.blob.core.windows.net/redox-components/16615.png,https://pubchem.ncbi.nlm.nih.gov/compound/16615
10184,10184,C1=CC=C2C(=C1)C=CC3=C2C(=O)C4=CC=CC=C34,0.425414663373117,54.18177,17.671272,https://upconverting.blob.core.windows.net/redox-components/10184.png,https://pubchem.ncbi.nlm.nih.gov/compound/10184
4179424,4179424,C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)Cl)Cl,0.42555098625802656,46.71236,22.970825,https://upconverting.blob.core.windows.net/redox-components/4179424.png,https://pubchem.ncbi.nlm.nih.gov/compound/4179424
66344,66344,CCCCCCCCC1=CC=C(C=C1)C(=O)C,0.4262345467629517,48.958817,-27.316095,https://upconverting.blob.core.windows.net/redox-components/66344.png,https://pubchem.ncbi.nlm.nih.gov/compound/66344
4072203,4072203,C1=CC=C(C(=C1)C=C2C3=CC=CC=C3C(=O)C4=CC=CC=C42)Cl,0.42648712620483586,47.089485,23.388367,https://upconverting.blob.core.windows.net/redox-components/4072203.png,https://pubchem.ncbi.nlm.nih.gov/compound/4072203
21527287,21527287,C1CCC(C1)C(=O)CC(=O)C2=CC=CC=C2,0.4265592533987084,56.396984,-11.944575,https://upconverting.blob.core.windows.net/redox-components/21527287.png,https://pubchem.ncbi.nlm.nih.gov/compound/21527287
10667,10667,C1=CC=C2C(=C1)C=CC(=O)C2=O,0.4267556178464463,46.805847,20.14581,https://upconverting.blob.core.windows.net/redox-components/10667.png,https://pubchem.ncbi.nlm.nih.gov/compound/10667
18972631,18972631,CCCCCCN1C2=CC=CC=C2SC3=CC=CC=C31,0.42702983294306146,18.298203,47.114536,https://upconverting.blob.core.windows.net/redox-components/18972631.png,https://pubchem.ncbi.nlm.nih.gov/compound/18972631
10866575,10866575,CC(C)C1=CN=C(C=C1)Cl,0.42798522995738003,-13.497479,-1.5545677,https://upconverting.blob.core.windows.net/redox-components/10866575.png,https://pubchem.ncbi.nlm.nih.gov/compound/10866575
