,CID,smiles
190,23070523,C=CC(=O)OC(COC1=CC(=CC=C1)Br)COC2=CC(=CC=C2)Br
191,23070524,C=CC(=O)OC(COC1=C(C=C(C=C1Br)Br)Br)COC2=C(C=C(C=C2Br)Br)Br
192,23070531,C=CC(=O)OC(COC1=CC=C(C=C1)Br)COC2=CC=C(C=C2)Br
193,14419788,C=CC(=O)OCCOC(=O)C=CC(=O)O
194,158599000,CCC.CCC.C=CC(=O)OCC(COC1=CC=CC=C1)O.C=CC(=O)OCC(COC1=CC=CC=C1)O.C=CC(=O)OCC(COC1=CC=CC=C1)O
195,156501860,C=CC(=O)OCC1CCCO1.C1CC(OC1)CO
196,141035370,CC=CC(=O)OC(C(C)O)OC(=O)C=C
197,87558003,CCC=C.C=CC(=O)O
198,101451640,C=CC(=O)OCC(COCC(COC(=O)C=C)COC(=O)C=C)COC(=O)C=C
199,139724664,CCCCCCCCCCCCOC(=O)C(=COC(=O)C=C)C
200,18352038,COC.COC(=O)C=C
201,146278314,CCCCC#COC(=O)C=C
202,87295927,C=CCOC(=O)C=C.C=C(Cl)Cl
203,89917394,CC1C(CO1)COC(=O)C=C
204,140773337,C=CC(=O)O
205,89655268,[B].CCCC.C=CC(=O)O
206,89917443,CCCO[Si](OCCC)(OCCC)OC(=O)C=C
207,89393163,C=CC(=O)OCCC1CCC(CC1)OC(=O)C=C
208,89393164,C=CC(=O)OCCC1CC2CC1C(C2)OC(=O)C=C
209,145754124,CC(=O)O.CC(=O)O.C=CC(=O)O.[Pd]
210,88606760,CC(=C)C(=O)OCCO[Si](C)(C)C.C=CCOC(=O)C=C
211,89131050,CC1(COCCOC1)COC(=O)C=C
212,158074925,C=CC(=O)O.C=CC(=O)O.C=CC(=O)[O-].[Na+]
213,18352190,CC(OCCOC(C)OC(=O)C=C)OC(=O)C=C
214,91752511,CC(CCOCCC(C)(COC(=O)C=C)COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C
215,58722375,CCCCCCCCCCCCCCC(C)OC(=O)C=C
216,58722381,CCCCCCCCCCCCCCCCCCCCCC(C)OC(=O)C=C
217,88082510,C=CC(=O)O.C=CC(=O)O.O(F)F
218,89655390,C[CH2-].C=CC(=O)O.[Zn]
219,89655391,C[CH2-].C=CC(=O)[O-].[Zn+2]
220,123996257,CC1CCC1(COC(=O)C=C)C(C)(COC(=O)C=C)COC(=O)C=C
221,159123560,CC(COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(=O)C=C)OCC(C)OCC(C)OCC(C)OC(=O)C=C.CC(COC(C)COC(C)COC(C)COC(C)COC(C)COC(=O)C=C)OCC(C)OCC(C)OCC(C)OC(=O)C=C.CC(COC(C)COC(C)COC(C)COC(C)COC(C)COC(=O)C=C)OCC(C)OCC(C)OC(=O)C=C.CC(COC(C)COC(C)COC(C)COC(C)COC(=O)C=C)OCC(C)OCC(C)OC(=O)C=C.CC(COC(C)COC(C)COC(C)COC(=O)C=C)OCC(C)OCC(C)OC(=O)C=C.CC(COC(C)COC(C)COC(C)COC(=O)C=C)OCC(C)OC(=O)C=C.CC(COC(C)COC(C)COC(=O)C=C)OCC(C)OC(=O)C=C.CC(COC(C)COC(=O)C=C)OCC(C)OC(=O)C=C
222,18352264,COCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C=C
223,89393302,C=CC(=O)OCCC(=O)CC(C(C(F)(F)F)(F)F)(F)F
224,149686423,CC(C)(C1CCCCCC1)OC(=O)C=C
225,123996314,CCCCC(=O)CCCOC(=O)C=C
226,141035719,CC(CCCCCCCCCCCCCCCP(C)(C)(C)Cl)OC(=O)C=C
227,141035721,CC(CCCCCCCCCC[Si](OC)(OC)OC)OC(=O)C=C
228,18352335,C[Si](C)OOC(=O)C=C
229,141035739,CC(C)[N+](C)(C)CCOC(=O)C=C.[Br-]
230,141035740,CC(C)[N+](C)(C)CCOC(=O)C=C
231,10750216,C=CC(=O)OCC(=C)Br
232,140773645,[B]OC(C)OC(=O)C=C
233,140773646,[B](OC(C)OC(=O)C=C)OC(C)OC(=O)C=C
234,18352416,CCOOC(=O)C=C
235,153618800,CCCCCCCCCCCCCCCC(O)(OC(=O)C=C)OC(=O)C=C
236,140773748,CC(CC(C(C(C(C(C(OC(=O)C=C)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(F)(F)F
237,21760419,CCOC(=O)C(CC(=O)O)OC(=O)C=C
